OrderID,CustomerName,CustomerEmail,PurchaseDetailsJSON,LogFileName,StatusMessage
1,Henry King,henry.king[at]example.net,"{""item"": ""Keyboard"", ""qty"": 2, ""price"": 1591.85}",log_2024-12-18.txt,SUCCESS: Order processed
2,Jack Lee,jack.lee@mailorg,"{""item"": ""Phone"", ""qty"": 5, ""price"": 430.67}",log_2024-12-01.txt,ERROR: Payment failed
3,Alice Smith,alice.smith@mail.org,"{""item"": ""Phone"", ""qty"": 3, ""price"": 1983.17}",log_2024-12-13.txt,SUCCESS: Order processed
4,Frank Moore,frank.moore@mail.org,"{""item"": ""Camera"", ""qty"": 2, ""price"": 1716.7}",error_2024-12-19.txt,SUCCESS: Order processed
5,Alice Smith,alice.smith@example.net,"{""item"": ""Monitor"", ""qty"": 5, ""price"": 202.55}",log_2024-12-16.txt,WARNING: Address incomplete
6,Alice Smith,alice.smith@email.com,"{""item"": ""Printer"", ""qty"": 1, ""price"": 1880.32}",log_2024-12-20.txt,ERROR: Payment failed
7,Frank Moore,frank.moore@example.net,"{""item"": ""Printer"", ""qty"": 5, ""price"": 1683.14}",log_2024-12-18.txt,WARNING: Address incomplete
8,Alice Smith,alice.smith@examplenet,"{""item"": ""Chair"", ""qty"": 2, ""price"": 1952.48}",error_2024-12-07.txt,WARNING: Address incomplete
9,Clara White,clara.white[at]example.net,"{""item"": ""Phone"", ""qty"": 5, ""price"": 326.02}",error_2024-12-30.txt,SUCCESS: Order processed
10,Ivy Scott,ivy.scott@mail.org,"{""item"": ""Desk"", ""qty"": 2, ""price"": 1049.96}",error_2024-12-15.txt,SUCCESS: Order processed
11,Frank Moore,frank.moore@mail.org,"{""item"": ""Tablet"", ""qty"": 2, ""price"": 1415.61}",log_2024-12-16.txt,WARNING: Address incomplete
12,Ivy Scott,ivy.scott@example.net,"{""item"": ""Desk"", ""qty"": 3, ""price"": 381.98}",error_2024-12-14.txt,ERROR: Payment failed
13,Jack Lee,jack.lee@example.net,"{""item"": ""Camera"", ""qty"": 1, ""price"": 417.86}",error_2024-12-01.txt,SUCCESS: Order processed
14,Alice Smith,alice.smith@mail.org,"{""item"": ""Chair"", ""qty"": 1, ""price"": 600.69}",error_2024-12-13.txt,WARNING: Address incomplete
15,Henry King,henry.king@emailcom,"{""item"": ""Monitor"", ""qty"": 4, ""price"": 168.76}",log_2024-12-22.txt,SUCCESS: Order processed
16,Bob Jones,bob.jones@mail.org,"{""item"": ""Mouse"", ""qty"": 3, ""price"": 934.15}",log_2024-12-11.txt,ERROR: Payment failed
17,Dave Green,dave.green@mail.org,"{""item"": ""Chair"", ""qty"": 5, ""price"": 257.52}",error_2024-12-27.txt,SUCCESS: Order processed
18,Ivy Scott,ivy.scott@emailcom,"{""item"": ""Phone"", ""qty"": 5, ""price"": 1648.47}",error_2024-12-16.txt,SUCCESS: Order processed
19,Eva Black,eva.black@mail.org,"{""item"": ""Phone"", ""qty"": 3, ""price"": 1362.04}",error_2024-12-26.txt,ERROR: Payment failed
20,Ivy Scott,ivy.scott@example.net,"{""item"": ""Keyboard"", ""qty"": 1, ""price"": 1594.91}",log_2024-12-12.txt,ERROR: Payment failed
